Freq,amp,phase
1.00000000000000e+002,1.99979529356068e+001dB,1.79831126301780e+002
1.25892541179417e+002,1.99979329260369e+001dB,1.79787400920294e+002
1.58489319246111e+002,1.99979012131942e+001dB,1.79732354235298e+002
1.99526231496888e+002,1.99978509521992e+001dB,1.79663055181083e+002
2.51188643150958e+002,1.99977712950786e+001dB,1.79575814070379e+002
3.16227766016838e+002,1.99976450500363e+001dB,1.79465986472680e+002
3.98107170553497e+002,1.99974449726269e+001dB,1.79327726614017e+002
5.01187233627272e+002,1.99971278901379e+001dB,1.79153677530472e+002
6.30957344480193e+002,1.99966253955634e+001dB,1.78934582198916e+002
7.94328234724282e+002,1.99958291141248e+001dB,1.78658796381681e+002
1.00000000000000e+003,1.99945673913680e+001dB,1.78311680120461e+002
1.25892541179417e+003,1.99925684443261e+001dB,1.77874841200384e+002
1.58489319246111e+003,1.99894022057306e+001dB,1.77325201673608e+002
1.99526231496888e+003,1.99843887681160e+001dB,1.76633860276890e+002
2.51188643150958e+003,1.99764548127238e+001dB,1.75764734661191e+002
3.16227766016838e+003,1.99639098848664e+001dB,1.74672998393624e+002
3.98107170553498e+003,1.99441012682547e+001dB,1.73303398879867e+002
5.01187233627273e+003,1.99128901912830e+001dB,1.71588690029669e+002
6.30957344480194e+003,1.98638777924355e+001dB,1.69448697236733e+002
7.94328234724282e+003,1.97873112314358e+001dB,1.66791033137560e+002
1.00000000000000e+004,1.96686539077402e+001dB,1.63515260536219e+002
1.25892541179417e+004,1.94869775105699e+001dB,1.59523232064253e+002
1.58489319246111e+004,1.92137192499556e+001dB,1.54738732841244e+002
1.99526231496888e+004,1.88129565838459e+001dB,1.49137615288658e+002
2.51188643150958e+004,1.82448342333724e+001dB,1.42782760404721e+002
3.16227766016838e+004,1.74731581641009e+001dB,1.35846611324571e+002
3.98107170553498e+004,1.64755191140154e+001dB,1.28597203392834e+002
5.01187233627273e+004,1.52509255606430e+001dB,1.21337740280232e+002
6.30957344480194e+004,1.38198737726767e+001dB,1.14323325925166e+002
7.94328234724283e+004,1.22167048709915e+001dB,1.07698211828825e+002
1.00000000000000e+005,1.04791551427880e+001dB,1.01478593240044e+002
