freq,vin,amp,pha
140,1.1,-7.8,-2
147.2681243,1.1,-7.9,-2
154.9135746,1.1,-7.9,-1
162.9559397,1.1,-7.9,-2
171.4158256,1.1,-7.9,-1
180.314908,1.1,-7.9,-2
189.6759878,1.1,-7.9,-2
199.5230496,1.1,-7.9,-2
209.8813234,1.1,-8,-2
220.7773488,1.1,-8,-3
232.2390432,1.1,-8,-3
244.2957735,1.1,-8,-3
256.978431,1.1,-8.1,-3
270.3195109,1.1,-8.1,-3
284.3531952,1.1,-8.2,-4
299.1154408,1.1,-8.2,-3
314.6440708,1.1,-8.3,-3
330.9788724,1.1,-8.3,-4
348.1616981,1.1,-8.4,-4
366.2365731,1.1,-8.5,-4
385.2498084,1.1,-8.6,-4
405.2501192,1.1,-8.7,-5
426.2887495,1.1,-8.8,-5
448.419604,1.1,-8.9,-6
471.6993856,1.1,-9.1,-6
496.1877412,1.1,-9.2,-6
521.947414,1.1,-9.4,-6
549.0444046,1.1,-9.6,-9
577.5481403,1.1,-9.9,-9
607.5316523,1.1,-10.2,-8
639.0717636,1.1,-10.5,-9
672.2492852,1.1,-10.9,-10
707.1492236,1.1,-11.3,-10
743.8609984,1.1,-11.9,-10
782.4786714,1.1,-12.5,-11
823.1011875,1.1,-13.3,-12
865.8326287,1.1,-14.3,-12
910.78248,1.1,-15.7,-13
958.0659107,1.1,-17.5,-14
1007.804069,1.1,-20.3,-14
1060.124392,1.1,-58.6,-11
1115.160934,1.1,-72.7,-1
1173.054708,1.1,-59.8,153
1233.954047,1.1,-52.4,153
1298.014985,1.1,-15.1,154
1365.401659,1.1,-11.1,151
1436.286723,1.1,-8.2,148
1510.851798,1.1,-5.6,145
1589.287932,1.1,-3.3,141
1671.796091,1.1,-1.2,135
1758.587675,1.1,0.8,130
1849.88506,1.1,2.6,123
1945.922164,1.1,4.2,115
2046.945051,1.1,5.5,105
2153.212559,1.1,6.6,93
2264.996963,1.1,7.3,83
2382.584674,1.1,7.6,72
2506.276971,1.1,7.7,63
2636.390775,1.1,7.6,55
2773.259461,1.1,7.4,49
2917.233707,1.1,7.2,41
3068.682402,1.1,6.9,38
3227.993582,1.1,6.50E+00,3.20E+01
3395.575429,1.1,6.3,29
3571.857318,1.1,6.1,27
3757.290911,1.1,5.9,24
3952.351321,1.1,5.7,22
4157.538327,1.1,5.5,19
4373.377651,1.1,5.4,18
4600.422312,1.1,5.2,17
4839.254035,1.1,5.1,16
5090.484749,1.1,5,15
5354.758149,1.1,4.9,14
5632.751349,1.1,4.8,13
5925.176614,1.1,4.7,12
6232.783187,1.1,4.6,12
6556.359209,1.1,4.5,11
6896.733736,1.1,4.5,10
7254.778866,1.1,4.4,9
7631.411971,1.1,4.4,9
8027.598049,1.1,4.3,8
8444.352197,1.1,4.3,8
8882.742208,1.1,4.3,6
9343.891313,1.1,4.2,6
9828.981053,1.1,4.2,6
10339.25431,1.1,4.2,5
10876.0185,1.1,4.2,6
11440.64889,1.1,4.1,5
12034.59216,1.1,4.1,5
12659.3701,1.1,4.1,5
13316.5835,1.1,4.1,5
14007.91625,1.1,4.1,4
14735.13965,1.1,4.1,3
15500.11699,1.1,4,3
16304.80825,1.1,4,3
17151.27521,1.1,4,3
18041.68664,1.1,4,2
18978.32393,1.1,4,3
19963.58692,1.1,4,2
21000,1.1,4,1
