freq,vin,amp,pha,v1,v2
100.0,1.6,0.1,2.0,1.471,1.4905
113.12165687240228,1.6,0.1,2.0,1.467,1.4915
127.96509253557505,1.6,0.1,2.0,1.458,1.4875
144.75623289454526,1.6,0.1,2.0,1.4395,1.4675
163.75064907638304,1.6,0.1,2.0,1.4425,1.4765
185.2374473745174,1.6,0.1,2.0,1.447,1.466
209.54366961819832,1.6,0.1,3.0,1.44,1.462
237.03927094333858,1.6,0.1,3.0,1.4325,1.454
268.14275072936715,1.6,0.1,3.0,1.423,1.4405
303.3275224082957,1.6,0.1,4.0,1.4095,1.419
343.129119098271,1.6,0.1,4.0,1.4045,1.4265
388.1533447356427,1.6,0.1,4.0,1.3955,1.4135
439.0854947706065,1.6,0.1,4.0,1.3735,1.408
496.7007867708953,1.6,0.1,5.0,1.3825,1.4
561.8761596934942,1.6,0.1,6.0,1.371,1.3925
635.6036214163056,1.6,0.1,8.0,1.3635,1.3695
719.0053476871153,1.6,0.1,6.0,1.3465,1.3805
813.3507623048415,1.6,0.1,9.0,1.356,1.3765
920.0758585035511,1.6,0.1,10.0,1.3525,1.3735
1040.8050556221967,1.6,0.1,11.0,1.3485,1.371
1177.3759237315558,1.6,0.1,13.0,1.35,1.371
1331.8671525418874,1.6,0.2,14.0,1.3425,1.3725
1506.630190294667,1.6,0.2,16.0,1.3385,1.375
1704.3250342011547,1.6,0.2,17.0,1.342,1.3795
1927.960717179483,1.6,0.3,22.0,1.331,1.3695
2180.941107122481,1.6,0.3,23.0,1.328,1.3885
2467.116715788262,1.6,0.3,26.0,1.348,1.402
2790.843305875675,1.6,0.4,29.0,1.3505,1.413
3157.0481883190896,1.6,0.5,34.0,1.349,1.424
3571.305218886713,1.6,0.5,39.0,1.35,1.42
4039.919635575223,1.6,0.6,42.0,1.357,1.45
4570.024028076208,1.6,0.7,49.0,1.351,1.4635
5169.686900026701,1.6,0.8,54.0,1.351,1.477
5848.035476425728,1.6,1.0,61.0,1.3295,1.4905
6615.3946254186685,1.6,1.2,69.0,1.311,1.5015
7483.444008921449,1.6,1.5,79.0,1.2775,1.5125
8465.395854010467,1.6,1.8,90.0,1.2375,1.523
9576.196050864288,1.6,2.3,102.0,1.1815,1.5175
10832.751638087238,1.6,3.0,119.0,1.089,1.5205
12254.18813787656,1.6,4.2,135.0,0.949,1.5395
13862.140657827344,1.6,6.1,151.0,0.769,1.5405
15681.083190117215,1.6,8.5,169.0,0.5845,1.5405
17738.70112020035,1.6,11.3,-177.0,0.423,1.5395
20066.312614814018,1.6,14.4,-165.0,0.296,1.538
22699.34530307344,1.6,17.6,-155.0,0.2035,1.52
25677.875506024557,1.6,20.9,-148.0,0.13915,1.518
29047.238222047672,1.6,24.2,-141.0,0.0949,1.527
32858.71715245405,1.6,27.5,-136.0,0.06465,1.5165
37170.325269872264,1.6,30.8,-133.0,0.0446,1.511
42047.687810140655,1.6,34.1,-129.0,0.0232,0.9295
47565.041127366334,1.6,37.4,-124.0,0.012095,0.98
53806.362615316255,1.6,40.8,-122.0,0.013125,1.11
60866.6488932186,1.6,44.1,-115.0,0.00793,1.092
68853.36171071658,1.6,47.7,-114.0,0.004545,1.031
77888.06357951066,1.6,51.1,-115.0,0.00422,0.879
88108.26802697277,1.6,54.8,-110.0,0.001725,0.9235
99669.53263368846,1.6,58.3,245.0,0.0009,0.5775
